id,classe,vizinho_mais_proximo,classe_vizinho,distancia,mesma_classe
har_047,har,har_099,har,12.695080820848018,True
har_048,har,har_072,har,10.12728930864429,True
har_049,har,har_091,har,10.271355366369985,True
har_050,har,har_077,har,10.07724906902022,True
har_051,har,har_099,har,12.06705900975382,True
har_052,har,har_062,har,12.725137822513053,True
har_053,har,har_074,har,11.026403313004266,True
har_054,har,har_080,har,12.78275382295925,True
har_055,har,har_099,har,11.869552869890132,True
har_056,har,har_070,har,25.880935215395056,True
har_057,har,har_080,har,12.11093594534291,True
har_058,har,har_078,har,11.407332808279905,True
har_059,har,har_090,har,13.821203788669603,True
har_060,har,har_047,har,14.682138920674014,True
har_061,har,har_052,har,14.304384402649141,True
har_062,har,har_052,har,12.725137822513053,True
har_063,har,har_088,har,9.905929149631838,True
har_064,har,har_096,har,12.596672820878537,True
har_065,har,har_096,har,11.578490549570445,True
har_066,har,har_051,har,15.847560342519458,True
har_067,har,har_088,har,4.769108358807858,True
har_068,har,har_090,har,11.05004755194223,True
har_069,har,har_093,har,9.883928453758031,True
har_070,har,har_039,har,14.98615100673277,True
har_071,har,har_077,har,8.909787107274502,True
har_072,har,har_096,har,4.970672563641371,True
har_073,har,har_077,har,8.235687966017366,True
har_074,har,har_094,har,9.46608280460909,True
har_075,har,har_077,har,9.66250541381632,True
har_076,har,har_069,har,10.050823379343662,True
har_077,har,har_073,har,8.235687966017366,True
har_078,har,har_094,har,4.466518265861976,True
har_079,har,har_056,har,30.1472934579199,True
har_080,har,har_071,har,9.702905663162731,True
har_081,har,har_080,har,11.446746578572832,True
har_082,har,har_039,har,12.400966667451472,True
har_083,har,har_074,har,10.13557098336882,True
har_084,har,har_080,har,12.179106246519561,True
har_085,har,har_097,har,13.719396057496972,True
har_086,har,har_088,har,5.262696369860816,True
har_087,har,har_078,har,8.246491785446551,True
har_088,har,har_067,har,4.769108358807858,True
har_089,har,har_098,har,9.439565965482805,True
har_090,har,har_068,har,11.05004755194223,True
har_091,har,har_049,har,10.271355366369985,True
har_092,har,har_044,har,11.029742157014212,True
har_093,har,har_069,har,9.883928453758031,True
har_094,har,har_078,har,4.466518265861976,True
har_095,har,har_088,har,7.466107190378793,True
